Título,Canal,Visualizações,Comentários,Likes,Data de Publicação,Categoria,URL
DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,14856635,44884,586073,2022-08-29T03:03:07Z,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI
Tiririca renuncia: “Saio com vergonha. Estou decepcionado com a política brasileira”,CartaCapital,11533196,30755,343358,2017-12-06T18:28:09Z,Política,https://www.youtube.com/watch?v=AJJg_TeXNSg
Entenda o sistema político no Brasil - OS 3 PODERES - de um jeito SIMPLES,Canal Nostalgia,5317742,22105,710235,2017-05-24T23:00:00Z,Política,https://www.youtube.com/watch?v=90N6xRU58Vo
OS 5 JOGOS PARA CELULAR MAIS VICIANTES! #shorts,Bunny Brasil,1704147,17042,74864,2023-05-17T13:02:42Z,Jogos,https://www.youtube.com/watch?v=5xmg3dZZca8
As maiores vinganças do futebol,Futebol com Histórias,13514018,9685,707739,2023-11-14T13:07:37Z,Esporte,https://www.youtube.com/watch?v=sVIpCdlP2Sk
MC Hariel e Gilberto Gil - A Dança - FUNK SUPERAÇÃO,MC Hariel,22957844,8825,443971,2024-08-23T00:00:07Z,Religião,https://www.youtube.com/watch?v=C0NRXaQin-4
Eleições 2024: Marçal não descarta possível corrida eleitoral em 2026,SBT News,2217736,8584,118980,2024-10-07T05:20:23Z,Política,https://www.youtube.com/watch?v=eJxMyrJqp2E
BOLSONARO PEDE QUE BRASILEIROS NÃO VÁ EM DESFILIES PATROCINADOS POR GOVERNO LULA,Itatiaia,1677675,7903,106546,2024-09-07T21:09:37Z,Política,https://www.youtube.com/watch?v=PBw01lKXAIo
Explicando Todas as Religiões em 13 Minutos,Novos Clássicos,3174165,7483,169064,2024-03-30T14:06:12Z,Religião,https://www.youtube.com/watch?v=3wij_JBSlDs
Porquê eu não tenho religião,Brubs,785012,7257,56911,2024-12-20T15:00:06Z,Religião,https://www.youtube.com/watch?v=U13OaoLfz54
Ideologia de gênero | Coluna #121,Drauzio Varella,744193,7178,89337,2019-09-30T14:00:02Z,Sexualidade,https://www.youtube.com/watch?v=9kowwGuS_-8
"TRETA DE NOVO!!! ""VOCÊ TÁ LOUCO??? MEU DEUS!!! O Jorge Jesus na Seleção..."" Pilhado x Flavio Prado!",Jovem Pan Esportes,640834,7097,21347,2025-04-02T17:57:11Z,Esporte,https://www.youtube.com/watch?v=E9sgjY0yWco
PROGRAMA POLÍTICO (PELOS IDOSOS),Porta dos Fundos,11089526,7049,192062,2012-09-24T13:59:38Z,Política,https://www.youtube.com/watch?v=il-cG20QeG4
Tudo por 1 ponto,Rodriverso,30518640,6914,1402846,2023-10-28T22:27:37Z,Esporte,https://www.youtube.com/watch?v=1YKmMfpzuhQ
HUMBERTO MATOS vs CAPOREZZO - DEBATE - COMUNISTA x BOLSONARISTA - PODCAST 3 IRMÃOS #706,Podcast 3 irmãos,177403,6796,14900,2025-03-29T15:22:11Z,Política,https://www.youtube.com/watch?v=fFvrutu5dl0
“VIVEU E MORREU POR NÓS”. CONCORDA COM A FERNANDA? PRA VOCÊ QUEM É O MAIOR ÍDOLO DO BOTAFOGO?,CazéTV,7832374,6665,172789,2023-02-01T21:57:29Z,Esporte,https://www.youtube.com/watch?v=3qBtAJjJtS8
Posse de Lula: faixa presidencial é entregue por cidadãos,BBC News Brasil,734993,6504,12190,2023-01-01T20:41:30Z,Política,https://www.youtube.com/watch?v=l7poldHF6lw
"SEXUALIDADE: SEXO, GÊNERO, ORIENTAÇÃO SEXUAL E IDENTIDADE DE GÊNERO",Minutos Psíquicos,1070266,6307,69916,2016-03-08T15:37:28Z,Sexualidade,https://www.youtube.com/watch?v=XsJTCKzL-Gg
"Em debate no STF,  Mendonça diz que polícia abusa em quebra de sigilo e Moraes pede provas",Migalhas,509431,6024,0,2025-04-23T21:11:25Z,Política,https://www.youtube.com/watch?v=4oguRv_uUD8
FLAMENGO 4 X 0 CORINTHIANS | MELHORES MOMENTOS | 6ª RODADA BRASILEIRÃO 2025 | ge.globo,ge,2578475,5913,76940,2025-04-27T21:03:15Z,Esporte,https://www.youtube.com/watch?v=3MPt7DYghRU
Donald Trump vence eleições americanas contra Kamala e é eleito a voltar à Casa Branca após 4 anos,UOL,458738,5585,10165,2024-11-06T10:34:37Z,Política,https://www.youtube.com/watch?v=piBUKSV3vG8
Gêneros Textuais [Prof Noslen],Professor Noslen,3919363,5406,235958,2017-09-11T19:00:02Z,Sexualidade,https://www.youtube.com/watch?v=Ucjv4LT8CSg
"BARCELONA FAZ NO FIM DA PRORROGAÇÃO, vence jogaço contra o REAL MADRID e é CAMPEÃO da Copa do Rei",ESPN Brasil,3641917,5084,131612,2025-04-26T23:51:36Z,Esporte,https://www.youtube.com/watch?v=tZloT4HKXmk
Não aguentou tomar chapéu 🎩 e fez isso 🤷🏽‍♂️ #futebol #esporte #skills #explore,Renan Footz,16122009,4934,450579,2025-03-01T13:00:16Z,Esporte,https://www.youtube.com/watch?v=BXT8S4wyljM
