Padrão,Frase
DIRETO,"PRESIDENCIAL 2022,Band Jornalismo,""A petrobrás é um capítulo da História Brasil e pouco se ver os interesses obscuros de particulares tentando ocultar suas motivações todos se parecer atentos no fio da miada ao ponto que quem se dá bem ñ é aquele que puxa mas aquele q pega o rolo, ninguém é bobo nem mesmo Lula que é o mais esperto de todos por ser discriminado nordestino pobre e ñ faz as coisas por fazer ou porque estudou mas por necessidade de demonstrar que ele ñ é burro como todos acham"",Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"O Lula como sempre um idiota e corrupto,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"O sul é e burro de carga do Brasil, tomam nossos impostos e não devolvem quase nada."
DIRETO,"Então tu é burro, alienado, cegou ou é mau-caratismo mesmo"",Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Esse Ciro é um idiota intelectual."
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,""A Band está de parabéns por este debate, agora não posso dar parabéns para os candidatos que infelizmente estragam achando que o povo é idiota, agente é tratado como um espectador de circo assistindo um show no picadeiro, esperando aplaudir o palhaço que melhor se apresentar."
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo, @gilsoncosta7206  Vc é tão burro que não entende que informar e ser tendencioso são duas coisas contraditórias?,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,Estou dando os parabéns para a band pois assim que se faz sem previlegios como a globo fez gostaria de  sugerir um programa onde os candidatos respondessem a perguntas da população pois não acredito que o povo seja tão burro de acreditar que foi a Dilma que errou pois quem governou não foi ela e sim o Lula que agora quer jogar nas costa dela tudo de ruim que o PT fez como ele jogou nas costa da sua esposa morta,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"DEBATE NA BAND: PRESIDENCIAL 2022,Band Jornalismo,É um idiota e muito mal informado,Política,https://www.youtube.com/watch?v=WwdgWl_nmKI"
DIRETO,"Jornalismo,""Tu tem que ser muito burro pra falar isso, os professores LITERALMENTE formam a cadeia produtiva, eles são o berço de CADA profissional."
